ortho	phon	lemme	cgram	genre	nombre	
épinglette	ep5glEt	épinglette	NOM	f	s	
invariance	5vaRj@s	invariance	NOM	f	s	
sociologue	sosjolOg	sociologue	NOM		s	
appuis	ap8i	appui	NOM	m	p	
loris	lORis	loris	NOM	m		
mesures	m°zyR	mesure	NOM	f	p	
saccharomyces	sakaRomisEs	saccharomyces	NOM	m	p	
grisé	gRize	grisé	NOM	m	s	
lancers	l@se	lancer	NOM	m	p	
fratricide	fRatRisid	fratricide	NOM		s	
books	buk	book	NOM	m	p	
cartonnages	kaRtonaZ	cartonnage	NOM	m	p	
mauvais	movE	mauvais	NOM	m		
épées	epe	épée	NOM	f	p	
prisons-écoles	pRiz§ekOl	prisons-école	NOM	f	p	
caléidoscope	kaleidOskOp	caléidoscope	NOM	m	s	
périscope	peRiskOp	périscope	NOM	m	s	
constitution	k§stitysj§	constitution	NOM	f	s	
taffe	taf	taffe	NOM	f	s	
griffage	gRifaZ	griffage	NOM	m	s	
volve	vOlv	volve	NOM	f	s	
esquintement	Esk5t°m@	esquintement	NOM	m	s	
dissections	diseksj§	dissection	NOM	f	p	
prématuré	pRematyRe	prématuré	NOM	m	s	
godelureau	god°lyRo	godelureau	NOM	m	s	
parfait	paRfE	parfait	NOM	m	s	
cuistances	k8ist@s	cuistance	NOM	f	p	
voies	vwa	voie	NOM	f	p	
prétextes	pRetEkst	prétexte	NOM	m	p	
oaristys	oaRistis	oaristys	NOM	f		
lap	lap	lap	NOM	m	s	
loustic	lustik	loustic	NOM	m	s	
règne	REN	règne	NOM	m	s	
sots	so	sot	NOM	m	p	
bourre-pif	buRpif	bourre-pif	NOM	m	s	
hiéroglyphe	jeRoglif	hiéroglyphe	NOM	m	s	
bug	b9g	bug	NOM	m	s	
marmottes	maRmOt	marmotte	NOM	f	p	
carmélite	kaRmelit	carmélite	NOM	f	s	
aïkido	ajkido	aïkido	NOM	m	s	
agacements	agas°m@	agacement	NOM	m	p	
jeunesses	Z9nEs	jeunesse	NOM	f	p	
escalades	Eskalad	escalade	NOM	f	p	
vertige	vERtiZ	vertige	NOM	m	s	
bricolo	bRikolo	bricolo	NOM	m	s	
symétrie	simetRi	symétrie	NOM	f	s	
vignettes	viNEt	vignette	NOM	f	p	
luisances	l8iz@s	luisance	NOM	f	p	
amendements	am@d°m@	amendement	NOM	m	p	
mollards	molaR	mollard	NOM	m	p	
compo	k§po	compo	NOM	f	s	
cratères	kRatER	cratère	NOM	m	p	
cartoon	kaRtun	cartoon	NOM	m	s	
délaissements	delEs°m@	délaissement	NOM	m	p	
candélabres	k@delabR	candélabre	NOM	m	p	
brûlés	bRyle	brûlé	NOM	m	p	
boursicoteur	buRsikot9R	boursicoteur	NOM	m	s	
hercule	ERkyl	hercule	NOM	m	s	
mire	miR	mire	NOM	f	s	
vouvoiement	vuvwam@	vouvoiement	NOM	m	s	
aiguillon	eg8ij§	aiguillon	NOM	m	s	
orthographe	ORtogRaf	orthographe	NOM	f	s	
paludiers	palydje	paludier	NOM	m	p	
pissette	pisEt	pissette	NOM	f	s	
malveillance	malvEj@s	malveillance	NOM	f	s	
dictons	dikt§	dicton	NOM	m	p	
métingue	met5g	métingue	NOM	m	s	
finals	final	final	NOM	m	p	
paladin	palad5	paladin	NOM	m	s	
finasseries	finas°Ri	finasserie	NOM	f	p	
clairvoyance	klERvwaj@s	clairvoyance	NOM	f	s	
grotesques	gRotEsk	grotesque	NOM	f	p	
casoar	kazoaR	casoar	NOM	m	s	
glandage	gl@daZ	glandage	NOM	m	s	
flingots	fl5go	flingot	NOM	m	p	
impedimenta	5pedim@ta	impedimenta	NOM	m	p	
circonstances	siRk§st@s	circonstance	NOM	f	p	
nécrophagie	nekRofaZi	nécrophagie	NOM	f	s	
plaquettes	plakEt	plaquette	NOM	f	p	
calibration	kalibRasj§	calibration	NOM	f	s	
giclées	Zikle	giclée	NOM	f	p	
misanthrope	miz@tROp	misanthrope	NOM		s	
littoral	litoRal	littoral	NOM	m	s	
complications	k§plikasj§	complication	NOM	f	p	
attachée	ataSe	attaché	NOM	f	s	
vibrions	vibRij§	vibrion	NOM	m	p	
péricarde	peRikaRd	péricarde	NOM	m	s	
salive	saliv	salive	NOM	f	s	
phlébites	flebit	phlébite	NOM	f	p	
cornouille	kORnuj	cornouille	NOM	f	s	
gazoline	gazolin	gazoline	NOM	f	s	
hochement	OS°m@	hochement	NOM	m	s	
microcosme	mikRokOsm	microcosme	NOM	m	s	
copieurs	kopj9R	copieur	NOM	m	p	
philatélistes	filatelist	philatéliste	NOM		p	
brimbalements	bR5bal°m@	brimbalement	NOM	m	p	
surpoids	syRpwa	surpoids	NOM	m		
mares	maR	mare	NOM	f	p	
célébrations	selebRasj§	célébration	NOM	f	p	
hollandaises	ol@dEz	hollandais	NOM	f	p	
réunion	Reynj§	réunion	NOM	f	s	
détraquée	detRake	détraqué	NOM	f	s	
maillot	majo	maillot	NOM	m	s	
bides	bid	bide	NOM	m	p	
tahitiens	taisj5	tahitien	NOM	m	p	
morbidesse	mORbidEs	morbidesse	NOM	f	s	
boycott	bOjkOt	boycott	NOM	m	s	
beignes	bEN	beigne	NOM	f	p	
contrecoups	k§tR°ku	contrecoup	NOM	m	p	
pacotille	pakotij	pacotille	NOM	f	s	
glucagon	glykag§	glucagon	NOM	m	s	
crêpage	kREpaZ	crêpage	NOM	m	s	
cassons	kas§	casson	NOM	m	p	
kébours	kebuR	kébour	NOM	m	p	
grenadines	gR°nadin	grenadine	NOM	f	p	
aspirines	aspiRin	aspirine	NOM	f	p	
agrégative	agRegativ	agrégative	NOM	f	s	
animation	animasj§	animation	NOM	f	s	
sidérurgie	sideRyRZi	sidérurgie	NOM	f	s	
tailleurs	taj9R	tailleur	NOM	m	p	
prétoires	pRetwaR	prétoire	NOM	m	p	
jonc	Z§	jonc	NOM	m	s	
analysant	analiz@	analysant	NOM	m	s	
airs	ER	air	NOM	m	p	
villégiature	vileZjatyR	villégiature	NOM	f	s	
boursière	buRsjER	boursier	NOM	f	s	
actualités	akt8alite	actualité	NOM	f	p	
dangerosité	d@Z°Rozite	dangerosité	NOM	f	s	
rhinoplastie	RinOplasti	rhinoplastie	NOM	f	s	
naissance	nEs@s	naissance	NOM	f	s	
puritaine	pyRitEn	puritain	NOM	f	s	
électrode	elEktROd	électrode	NOM	f	s	
renoncements	R°n§s°m@	renoncement	NOM	m	p	
ramas	Rama	ramas	NOM	m		
clafoutis	klafuti	clafoutis	NOM	m		
mea culpa	meakylpa	mea culpa	NOM	m		
goinfre	gw5fR	goinfre	NOM		s	
anti-immigration	@tiimigRasj§	anti-immigration	NOM	f	s	
anti-incendie	@ti5s@di	anti-incendie	NOM	m	s	
rus	Ry	ru	NOM	m	p	
occlusion	oklyzj§	occlusion	NOM	f	s	
parfaits	paRfE	parfait	NOM	m	p	
jerez	xeREs	jerez	NOM	m		
débrouillage	debRujaZ	débrouillage	NOM	m	s	
naphte	naft	naphte	NOM	m	s	
hammams	amam	hammam	NOM	m	p	
oeil	9j	oeil	NOM	m	s	
cinoques	sinOk	cinoque	NOM	m	p	
juan	xwan	juan	NOM	m	s	
phylactère	filaktER	phylactère	NOM	m	s	
gratture	gRatyR	gratture	NOM	f	s	
soute	sut	soute	NOM	f	s	
ganaderias	ganadeRja	ganaderia	NOM	f	p	
futilité	fytilite	futilité	NOM	f	s	
transitions	tR@zisj§	transition	NOM	f	p	
ésotéristes	ezoteRist	ésotériste	NOM		p	
praticienne	pRatisjEn	praticien	NOM	f	s	
mustangs	myst@g	mustang	NOM	m	p	
appartenances	apaRt°n@s	appartenance	NOM	f	p	
désappointé	dezapw5te	désappointé	NOM	m	s	
académisme	akademizm	académisme	NOM	m	s	
mini	mini	mini	NOM		s	
tapas	tapas	tapa	NOM	m	p	
hachure	aSyR	hachure	NOM	f	s	
dundee	d9ndi	dundee	NOM	m	s	
babouvistes	babuvist	babouviste	NOM		p	
cèdres	sEdR	cèdre	NOM	m	p	
valériane	valeRjan	valériane	NOM	f	s	
embâcle	@bakl	embâcle	NOM	m	s	
puristes	pyRist	puriste	NOM		p	
matamore	matamOR	matamore	NOM	m	s	
officier	ofisje	officier	NOM	m	s	
superpuissances	sypERp8is@s	superpuissance	NOM	f	p	
outsider	awtsajd9R	outsider	NOM	m	s	
prédestiné	pRedEstine	prédestiné	NOM	m	s	
entrées	@tRe	entrée	NOM	f	p	
pattes	pat	patte	NOM	f	p	
dessous-de-plat	d°sud°pla	dessous-de-plat	NOM	m		
races	Ras	race	NOM	f	p	
anonymographe	anonimogRaf	anonymographe	NOM	m	s	
plafonds	plaf§	plafond	NOM	m	p	
sabords	sabOR	sabord	NOM	m	p	
acrobaties	akRobasi	acrobatie	NOM	f	p	
actionnement	aksjOn°m@	actionnement	NOM	m	s	
colporteuse	kOlpORt2z	colporteur	NOM	f	s	
bohémiennes	boemjEn	bohémien	NOM	f	p	
couloir-symbole	kulwaRs5bOl	couloir-symbole	NOM	m	s	
patricienne	patRisjEn	patricien	NOM	f	s	
zèbre	zEbR	zèbre	NOM	m	s	
bondage	b§daZ	bondage	NOM	m	s	
guillotine	gijotin	guillotine	NOM	f	s	
hurricane	9Rikan	hurricane	NOM	m	s	
maigreur	mEgR9R	maigreur	NOM	f	s	
racket	RakEt	racket	NOM	m	s	
mouvances	muv@s	mouvance	NOM	f	p	
anti-hannetons	@tian°t§	anti-hanneton	NOM	m	p	
pégriot	pegRijo	pégriot	NOM	m	s	
ichtyologiste	iktjoloZist	ichtyologiste	NOM		s	
roubaisienne	RubEzjEn	roubaisien	NOM	f	s	
tommes	tOm	tomme	NOM	f	p	
torque	tORk	torque	NOM	m	s	
médinas	medina	médina	NOM	f	p	
petite-nièce	p°titnjEs	petite-nièce	NOM	f	s	
profs	pROf	prof	NOM		p	
apothéoses	apoteoz	apothéose	NOM	f	p	
pyrotechnie	piRotEkni	pyrotechnie	NOM	f	s	
combinaisons	k§binEz§	combinaison	NOM	f	p	
herbivores	ERbivOR	herbivore	NOM	m	p	
steamboat	stimbOwt	steamboat	NOM	m	s	
chapiteaux	Sapito	chapiteau	NOM	m	p	
pourritures	puRityR	pourriture	NOM	f	p	
taloches	talOS	taloche	NOM	f	p	
préalables	pRealabl	préalable	NOM	m	p	
urdu	yRdy	urdu	NOM	m	s	
messagerie	mesaZ°Ri	messagerie	NOM	f	s	
oracles	oRakl	oracle	NOM	m	p	
bondieuseries	b§dj2z°Ri	bondieuserie	NOM	f	p	
crachins	kRaS5	crachin	NOM	m	p	
tord-boyaux	tORbwajo	tord-boyaux	NOM	m		
mouflette	muflEt	mouflette	NOM	f	s	
contremaîtresse	k§tR°mEtREs	contremaîtresse	NOM	f	s	
assouplissant	asuplis@	assouplissant	NOM	m	s	
fanfaronne	f@faROn	fanfaron	NOM	f	s	
fuel	fjul	fuel	NOM	m	s	
troncs	tR§	tronc	NOM	m	p	
smiley	smajli	smiley	NOM	m	s	
anastomose	anastomoz	anastomose	NOM	f	s	
tome	tOm	tome	NOM	m	s	
veneurs	v°n9R	veneur	NOM	m	p	
verticales	vERtikal	verticale	NOM	f	p	
ribouis	Ribwi	ribouis	NOM	m		
carogne	kaRON	carogne	NOM	f	s	
salmonelle	salmonEl	salmonelle	NOM	f	s	
drop	dROp	drop	NOM	m	s	
soussou	susu	soussou	NOM		s	
percepteurs	pERsEpt9R	percepteur	NOM	m	p	
crins	kR5	crin	NOM	m	p	
barbets	baRbE	barbet	NOM	m	p	
chantiers	S@tje	chantier	NOM	m	p	
amas	ama	amas	NOM	m		
laminage	laminaZ	laminage	NOM	m	s	
cantatrices	k@tatRis	cantatrice	NOM	f	p	
rhythm'n'blues	RitmEnbluz	rhythm'n'blues	NOM	m		
lécheurs	leS9R	lécheur	NOM	m	p	
pissat	pisa	pissat	NOM	m	s	
quiétude	kjetyd	quiétude	NOM	f	s	
claim	klEm	claim	NOM	m	s	
escorteur	EskORt9R	escorteur	NOM	m	s	
orienteuse	oRj@t2z	orienteur	NOM	f	s	
préventions	pRev@sj§	prévention	NOM	f	p	
bronchites	bR§Sit	bronchite	NOM	f	p	
entendant	@t@d@	entendant	NOM	m	s	
chroniqueurs	kRonik9R	chroniqueur	NOM	m	p	
trips	tRip	trip	NOM	m	p	
attardé	ataRde	attardé	NOM	m	s	
loulous	lulu	loulou	NOM	m	p	
métempsycose	met@psikoz	métempsycose	NOM	f	s	
ex-reine	EksREn	ex-reine	NOM	f	s	
survêts	syRvE	survêt	NOM	m	p	
mi-humaine	miymEn	mi-humaine	NOM	m		
mimosées	mimoze	mimosée	NOM	f	p	
totaux	toto	total	NOM	m	p	
précédents	pResed@	précédent	NOM	m	p	
ex-petite	Eksp°tit	ex-petit	NOM	f	s	
reproches	R°pROS	reproche	NOM	m	p	
commanditaire	kom@ditER	commanditaire	NOM		s	
administratifs	administRatif	administratif	NOM	m	p	
décoffrage	dekOfRaZ	décoffrage	NOM	m	s	
tentacules	t@takyl	tentacule	NOM	m	p	
taoïste	taoist	taoïste	NOM		s	
national-socialiste	nasjonalsosjalist	national-socialiste	NOM		s	
arrivées	aRive	arrivée	NOM	f	p	
ex-arriviste	EksaRivist	ex-arriviste	NOM		s	
baguette	bagEt	baguette	NOM	f	s	
rescrit	REskRi	rescrit	NOM	m	s	
designs	dizajn	design	NOM	m	p	
aplatissements	aplatis°m@	aplatissement	NOM	m	p	
appuie-tête	ap8itEt	appuie-tête	NOM	m		
sandale	s@dal	sandal	NOM	f	s	
blennies	blEni	blennie	NOM	f	p	
