Dénomination sociale;Rue 1;Rue 2;Rue 3;Ville;Code postal;Code département;Catégorie;Dep;Tél;latitude;longitude;lat-lon
CONSERVATOIRE DE PARIS 17 - LA JONQUIÈRE;88 rue de la Jonquière;;;PARIS;75017;75;CRC/CRI - Conservatoire à rayonnement communal;75;;48.89475;2.319068;48.89475, 2.319068
CONSERVATOIRE DE MARNE ET GONDOIRE - CONCHES / CHANTELOUP;La Grange;4 rue du Fort du Bois;;CONCHES SUR GONDOIRE;77060;77;CRC/CRI - Conservatoire à rayonnement communal;77;01 60 07 69 58;48.855336;2.714986;48.855336, 2.714986
CONSERVATOIRE DE MEAUX;49 cours Pinteville;;;MEAUX;77100;77;CRC/CRI - Conservatoire à rayonnement communal;77;01 64 34 68 03;48.962516;2.875621;48.962516, 2.875621
CONSERVATOIRE DE MONTEREAU-FAULT-YONNE - GASTON LITAIZE;4 rue Pierre Corneille;;;MONTEREAU-FAULT-YONNE;77130;77;CRC/CRI - Conservatoire à rayonnement communal;77;01 60 74 74 30;48.379655;2.953104;48.379655, 2.953104
ECOLE DE MUSIQUE DE NANDY;Rue des 18 sous;;;NANDY;77176;77;Ecole de musique et de danse municipale ou intercommunale;77;;48.588444;2.567928;48.588444, 2.567928
ECOLE MUNICIPALE DE MUSIQUE ET DE DANSE DU VERT-SAINT-DENIS;60 rue Pasteur;;;VERT-SAINT-DENIS;77240;77;Ecole de musique et de danse municipale ou intercommunale;77;;48.565543;2.615685;48.565543, 2.615685
"CONSERVATOIRE ""MUSIQUES EN SEINE"" DE MORET-SUR-LOING";CAC;2, rue du Clos Blanchet;;MORET-SUR-LOING;77250;77;Ecole de musique et de danse municipale ou intercommunale;77;01 64 70 62 52;48.372144;2.814421;48.372144, 2.814421
CONSERVATOIRE DE PONTAULT-COMBAULT;79-81 avenue de la République;;;PONTAULT-COMBAULT;77340;77;CRC/CRI - Conservatoire à rayonnement communal;77;01 70 05 46 05;48.802843;2.610629;48.802843, 2.610629
CONSERVATOIRE DE MAISONS-LAFFITTE;38 avenue Saint-Germain;;;MAISONS-LAFFITE;78600;78;Ecole de musique et de danse municipale ou intercommunale;78;;48.942775;2.141294;48.942775, 2.141294
CONSERVATOIRE DE VERSAILLES;24 rue de la Chancellerie;;;VERSAILLES;78000;78;CRR - Conservatoire à rayonnement régional;78;01 39 66 30 10;48.801388;2.125228;48.801388, 2.125228
